id,y
0,67.5449
1,64.95098
2,85.17499
3,66.67635
4,77.0871
5,77.842445
6,59.068863
7,66.11876
8,70.98772
9,62.96591
10,72.90429
11,60.420906
12,59.63759
13,78.11802
14,66.50859
15,63.7841
16,76.38455
17,60.67193
18,75.66184
19,75.78242
20,79.70793
21,60.84242
22,81.69362
23,73.41799
24,76.33473
25,74.32466
26,76.860634
27,61.946278
28,78.59258
29,82.63364
30,63.334614
31,68.646255
32,78.11076
33,69.32564
34,69.16868
35,77.55493
36,81.18731
37,78.61809
38,59.711025
39,69.20165
40,73.24117
41,61.12644
42,80.09163
43,68.26477
44,65.479034
45,60.023773
46,80.76829
47,74.737175
48,77.3736
49,50.421852
50,55.379234
51,56.308865
52,69.032845
53,78.86831
54,80.46758
55,74.05168
56,72.39403
57,70.19866
58,80.17675
59,62.84744
60,73.36657
61,58.01605
62,54.500145
63,63.305603
64,59.057343
65,73.688805
66,72.95052
67,72.22583
68,62.672195
69,67.40685
70,70.96335
71,79.4528
72,76.696655
73,79.13851
74,60.77406
75,83.63583
76,77.39359
77,71.92917
78,78.389305
79,56.901714
80,63.236134
81,75.737785
82,56.128384
83,75.16539
84,67.30615
85,65.94237
86,68.69082
87,57.387062
88,59.723595
89,83.94411
90,58.407047
91,73.60129
92,81.810265
93,71.57118
94,87.42528
95,74.57104
96,73.677284
97,68.38755
98,75.48607
99,59.33071
100,75.88439
101,66.72841
102,69.81101
103,61.544918
104,63.6687
105,61.08332
106,84.32323
107,70.94658
108,76.01527
109,58.1717
110,78.476364
111,72.90062
112,79.63647
113,82.168106
114,59.744423
115,54.444084
116,62.55201
117,81.4377
118,76.39929
119,62.552776
120,61.226658
121,55.984673
122,75.811104
123,83.90273
124,65.39481
125,69.36387
126,68.85036
127,72.241066
128,61.517895
129,54.084576
130,65.34461
131,73.37253
132,79.0638
133,78.58529
134,74.975365
135,67.688774
136,76.54589
137,48.09781
138,71.25284
139,83.66543
140,61.74944
141,70.58006
142,73.91644
143,76.967606
144,66.62315
145,79.35281
146,56.087204
147,68.5381
148,82.10553
149,71.58682
150,57.48211
151,56.699837
152,62.59407
153,67.27758
154,65.87664
155,63.02648
156,68.63078
157,69.880325
158,64.66297
159,70.143555
160,76.07067
161,78.75278
162,76.247185
163,57.250595
164,79.72925
165,79.21754
166,80.354935
167,57.762104
168,68.19173
169,77.75829
