,id,y
0,0.0,61.61147
1,1.0,65.72539
2,2.0,85.0658
3,3.0,70.80309
4,4.0,76.938614
5,5.0,78.49977
6,6.0,64.5835
7,7.0,63.826504
8,8.0,68.91513
9,9.0,60.448265
10,10.0,79.8163
11,11.0,61.824203
12,12.0,53.947422
13,13.0,72.41136
14,14.0,64.51442
15,15.0,55.830246
16,16.0,74.39
17,17.0,61.61782
18,18.0,72.21803
19,19.0,72.95616
20,20.0,77.75426
21,21.0,69.119835
22,22.0,77.06337
23,23.0,70.77116
24,24.0,83.69575
25,25.0,76.895775
26,26.0,77.4315
27,27.0,63.175144
28,28.0,73.38978
29,29.0,82.62134
30,30.0,66.1929
31,31.0,62.153896
32,32.0,77.994606
33,33.0,70.04447
34,34.0,66.661964
35,35.0,76.64279
36,36.0,75.8389
37,37.0,78.44865
38,38.0,60.968365
39,39.0,75.238106
40,40.0,60.046085
41,41.0,57.66525
42,42.0,53.552326
43,43.0,63.89765
44,44.0,68.28498
45,45.0,66.04105
46,46.0,75.37598
47,47.0,74.26347
48,48.0,75.0221
49,49.0,54.70705
50,50.0,56.639744
51,51.0,66.529564
52,52.0,64.75239
53,53.0,84.36403
54,54.0,53.86835
55,55.0,78.44033
56,56.0,70.43921
57,57.0,72.32206
58,58.0,79.59543
59,59.0,65.200356
60,60.0,75.30701
61,61.0,53.985405
62,62.0,50.765816
63,63.0,61.40769
64,64.0,57.33912
65,65.0,74.98216
66,66.0,75.525345
67,67.0,71.57792
68,68.0,64.65529
69,69.0,70.95037
70,70.0,69.3997
71,71.0,77.90335
72,72.0,79.269844
73,73.0,79.14245
74,74.0,55.450542
75,75.0,75.965416
76,76.0,74.163925
77,77.0,76.603874
78,78.0,74.143814
79,79.0,44.9253
80,80.0,63.500755
81,81.0,76.38906
82,82.0,54.96329
83,83.0,71.4364
84,84.0,63.263844
85,85.0,63.26335
86,86.0,68.76297
87,87.0,60.10454
88,88.0,56.66305
89,89.0,79.06069
90,90.0,63.361244
91,91.0,73.105286
92,92.0,82.59171
93,93.0,68.995575
94,94.0,85.5266
95,95.0,79.45146
96,96.0,75.421196
97,97.0,70.93293
98,98.0,80.96096
99,99.0,58.937996
100,100.0,77.968376
101,101.0,68.27929
102,102.0,67.924805
103,103.0,63.031464
104,104.0,66.97676
105,105.0,58.391758
106,106.0,83.185394
107,107.0,61.84156
108,108.0,73.96401
109,109.0,63.8808
110,110.0,79.79374
111,111.0,71.08768
112,112.0,79.17918
113,113.0,72.84734
114,114.0,62.613125
115,115.0,53.086227
116,116.0,65.25781
117,117.0,74.63202
118,118.0,77.71072
119,119.0,61.203022
120,120.0,60.483772
121,121.0,58.569798
122,122.0,61.57597
123,123.0,79.2606
124,124.0,70.67468
125,125.0,58.762157
126,126.0,69.41334
127,127.0,74.59275
128,128.0,63.195972
129,129.0,49.662277
130,130.0,65.89345
131,131.0,71.30083
132,132.0,80.584335
133,133.0,74.16142
134,134.0,78.43675
135,135.0,64.329
136,136.0,67.510345
137,137.0,48.44975
138,138.0,71.822136
139,139.0,80.94548
140,140.0,61.694656
141,141.0,76.920334
142,142.0,74.236374
143,143.0,74.79436
144,144.0,65.04886
145,145.0,77.94846
146,146.0,58.5202
147,147.0,72.75864
148,148.0,72.43604
149,149.0,71.04893
150,150.0,52.303997
151,151.0,63.739326
152,152.0,58.980656
153,153.0,67.59712
154,154.0,64.82386
155,155.0,61.286137
156,156.0,74.48776
157,157.0,77.44016
158,158.0,68.58194
159,159.0,70.4946
160,160.0,78.37037
161,161.0,77.99104
162,162.0,77.367775
163,163.0,54.238583
164,164.0,82.19715
165,165.0,78.70137
166,166.0,82.925285
167,167.0,56.41005
168,168.0,66.51624
169,169.0,76.62162
170,170.0,70.8007
171,171.0,52.78542
172,172.0,72.49349
173,173.0,68.921295
174,174.0,77.13264
175,175.0,73.418785
176,176.0,58.767258
177,177.0,75.071434
